"filename", "language", "JavaScript", "PHP", "JSON with Comments", "JSON", "XML", "YAML", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\ActionPHP\editarPub.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\VegaExpress\ActionPHP\excluirPub.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\xampp\htdocs\VegaExpress\ActionPHP\login.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\xampp\htdocs\VegaExpress\ActionPHP\logout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\VegaExpress\ActionPHP\novaPub.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 25, 70
"c:\xampp\htdocs\VegaExpress\ActionPHP\pesquisarPub.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\xampp\htdocs\VegaExpress\ActionPHP\registrar.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 20, 101
"c:\xampp\htdocs\VegaExpress\ActionPHP\verificarEmail.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\xampp\htdocs\VegaExpress\ActionsJS\ActionModalCep.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\VegaExpress\ActionsJS\ActionVerificarSessao.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\VegaExpress\ActionsJS\containerAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\VegaExpress\ActionsJS\dropdownButtonsAnim.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7
"c:\xampp\htdocs\VegaExpress\ActionsJS\imgZoom.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\VegaExpress\ActionsJS\inputImagensPreview.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginEmailCelularPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginSenhaPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginToast.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\VegaExpress\ActionsJS\modalAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\VegaExpress\ActionsJS\modalPrecoInvalido.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\VegaExpress\ActionsJS\perfilConfigBtnSelect.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCelularAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCepInvalidoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCepPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCidadePreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroEmailAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroEnderecoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroNomeAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroNumeroPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroSenhaCharAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroSenhaDiferenteAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroVerificarUsuario.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\VegaExpress\ActionsJS\sideBarAction.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 38
"c:\xampp\htdocs\VegaExpress\ActionsJS\toastTimer.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.mask.js", "JavaScript", 472, 0, 0, 0, 0, 0, 0, 0, 0, 60, 73, 605
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.mask.min.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.zoom.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 237
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.zoom.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\VegaExpress\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3
"c:\xampp\htdocs\VegaExpress\VegaExpress.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\VegaExpress\app\Db\Database.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 18, 25, 119
"c:\xampp\htdocs\VegaExpress\app\Entity\Autor.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\xampp\htdocs\VegaExpress\app\Entity\Comentario.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\xampp\htdocs\VegaExpress\app\Entity\Email.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 14, 17, 70
"c:\xampp\htdocs\VegaExpress\app\Entity\Produto.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 26, 104
"c:\xampp\htdocs\VegaExpress\app\Entity\Publicacao.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 0, 7, 21, 92
"c:\xampp\htdocs\VegaExpress\app\Entity\Usuario.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 0, 5, 21, 129
"c:\xampp\htdocs\VegaExpress\app\Funcs\money_format.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 12, 12, 115
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3855, 0, 7, 1135, 4997
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3855, 0, 7, 1134, 4996
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 346, 0, 16, 64, 426
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 352, 0, 8, 63, 423
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3634, 0, 9, 1109, 4752
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3630, 0, 7, 1106, 4743
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 9088, 0, 27, 1714, 10829
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 9090, 0, 7, 1708, 10805
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.bundle.js", "JavaScript", 4890, 0, 0, 0, 0, 0, 0, 0, 0, 560, 1326, 6776
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.esm.js", "JavaScript", 3479, 0, 0, 0, 0, 0, 0, 0, 0, 472, 1044, 4995
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.esm.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.js", "JavaScript", 3518, 0, 0, 0, 0, 0, 0, 0, 0, 478, 1048, 5044
"c:\xampp\htdocs\VegaExpress\bootstrap-5.0.0B3\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\VegaExpress\bootstrap-icons-1.4.0\search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\VegaExpress\carrinho.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 11, 30
"c:\xampp\htdocs\VegaExpress\codigosSemUso.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 106, 14, 35, 155
"c:\xampp\htdocs\VegaExpress\composer.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\VegaExpress\composer.lock", "JSON", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 1, 158
"c:\xampp\htdocs\VegaExpress\editarPub.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 16, 55
"c:\xampp\htdocs\VegaExpress\img\LogoTCC.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 1, 47
"c:\xampp\htdocs\VegaExpress\img\btns\edit.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\expand.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\profileConfig.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\btns\star_rate.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\carrinho\fundo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Bitcoin.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Cardano.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Chainlink.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Ethereum.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\criptos\Monero.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\menu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\menu_open.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\img\shopping_cart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\includesPag\PesquisaResultado.php", "PHP", 0, 241, 0, 0, 0, 0, 0, 0, 0, 7, 56, 304
"c:\xampp\htdocs\VegaExpress\includesPag\carousel.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\xampp\htdocs\VegaExpress\includesPag\carrinho.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 20, 105
"c:\xampp\htdocs\VegaExpress\includesPag\footer.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\VegaExpress\includesPag\listagem.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\xampp\htdocs\VegaExpress\includesPag\navbar.php", "PHP", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 28, 224
"c:\xampp\htdocs\VegaExpress\includesPag\navbarSideBar.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 23, 120
"c:\xampp\htdocs\VegaExpress\includesPag\perfilU.php", "PHP", 0, 270, 0, 0, 0, 0, 0, 0, 0, 1, 64, 335
"c:\xampp\htdocs\VegaExpress\includesPag\pesquisa.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89
"c:\xampp\htdocs\VegaExpress\includesPag\registrarEmp.php", "PHP", 0, 258, 0, 0, 0, 0, 0, 0, 0, 29, 92, 379
"c:\xampp\htdocs\VegaExpress\includesPag\sobre.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\xampp\htdocs\VegaExpress\includesPag\visualizacaoEditarProduto.php", "PHP", 0, 195, 0, 0, 0, 0, 0, 0, 0, 7, 37, 239
"c:\xampp\htdocs\VegaExpress\includesPag\visualizacaoProduto.php", "PHP", 0, 285, 0, 0, 0, 0, 0, 0, 0, 7, 57, 349
"c:\xampp\htdocs\VegaExpress\includes\fadeIn.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 52, 0, 2, 7, 61
"c:\xampp\htdocs\VegaExpress\includes\link.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 394, 0, 37, 123, 554
"c:\xampp\htdocs\VegaExpress\includes\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 256, 0, 45, 60, 361
"c:\xampp\htdocs\VegaExpress\includes\perfil.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 145, 0, 1, 35, 181
"c:\xampp\htdocs\VegaExpress\includes\pesquisa.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\xampp\htdocs\VegaExpress\includes\publicacao.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 123, 0, 2, 24, 149
