"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "XML", "PHP", "JSON with Comments", "SQL", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\VegaExpress\ActionPHP\adicionarCarrinho.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 8, 38
"c:\xampp\htdocs\VegaExpress\ActionPHP\editarPerfil.php", "PHP", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 28, 92
"c:\xampp\htdocs\VegaExpress\ActionPHP\editarPub.php", "PHP", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\VegaExpress\ActionPHP\excluirPub.php", "PHP", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\xampp\htdocs\VegaExpress\ActionPHP\login.php", "PHP", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"c:\xampp\htdocs\VegaExpress\ActionPHP\logout.php", "PHP", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\VegaExpress\ActionPHP\mudarSenha.php", "PHP", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\VegaExpress\ActionPHP\novaAvaliacao.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\xampp\htdocs\VegaExpress\ActionPHP\novaPub.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 26, 71
"c:\xampp\htdocs\VegaExpress\ActionPHP\pesquisarPub.php", "PHP", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\VegaExpress\ActionPHP\registrar.php", "PHP", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 9, 20, 102
"c:\xampp\htdocs\VegaExpress\ActionPHP\registrarCompra.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\VegaExpress\ActionPHP\removerProdutoCarrinho.php", "PHP", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\VegaExpress\ActionPHP\verificarEmail.php", "PHP", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 13, 13, 78
"c:\xampp\htdocs\VegaExpress\ActionsJS\ActionModalCep.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\VegaExpress\ActionsJS\ActionVerificarSessao.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\VegaExpress\ActionsJS\containerAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\VegaExpress\ActionsJS\cropper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10
"c:\xampp\htdocs\VegaExpress\ActionsJS\dropdownButtonsAnim.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7
"c:\xampp\htdocs\VegaExpress\ActionsJS\editImagePreview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\VegaExpress\ActionsJS\formatarNumeroReal.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\VegaExpress\ActionsJS\imgZoom.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\VegaExpress\ActionsJS\inputImagensPreview.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\VegaExpress\ActionsJS\inputImagensPreviewCropper.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 103
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginEmailCelularPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginSenhaPreen.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\VegaExpress\ActionsJS\loginToast.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\VegaExpress\ActionsJS\modalAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\VegaExpress\ActionsJS\modalPrecoInvalido.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\VegaExpress\ActionsJS\perfilConfigBtnSelect.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCelularAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCepInvalidoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCepPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroCidadePreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroEmailAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroEnderecoAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroNomeAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroNumeroPreenAction.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroSenhaCharAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroSenhaDiferenteAction.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\VegaExpress\ActionsJS\registroVerificarUsuario.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\VegaExpress\ActionsJS\sideBarAction.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 38
"c:\xampp\htdocs\VegaExpress\ActionsJS\toastTimer.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\bindings\inputmask.binding.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\inputmask.js", "JavaScript", 2818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 2854
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\inputmask.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.inputmask.js", "JavaScript", 2758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36, 2801
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.inputmask.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.mask.js", "JavaScript", 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 73, 605
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.mask.min.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.zoom.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 237
"c:\xampp\htdocs\VegaExpress\JQuery 3.6.0\jquery.zoom.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\VegaExpress\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\xampp\htdocs\VegaExpress\TelaInfoVenda.php", "PHP", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 5, 25
"c:\xampp\htdocs\VegaExpress\UIcons\css\uicons-regular-straight.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1078, 0, 0, 3, 1081
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-add.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-alarm-clock.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-align-center.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-align-justify.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-align-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-align-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-ambulance.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-double-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-double-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-double-small-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-double-small-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-small-down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-small-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-small-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-small-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-angle-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-apps-add.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-apps-delete.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-apps-sort.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-apps.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-archive.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-small-down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-small-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-small-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-small-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-arrow-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-asterisk.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-backpack.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-badge.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-ban.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-band-aid.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bank.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-barber-shop.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-baseball.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-basketball.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bell-ring.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bell-school.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bell.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-billiard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-book-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-book.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bookmark.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bowling.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-box-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-box.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-briefcase.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-broom.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-browser.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-brush.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bug.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-building.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-bulb.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-calculator.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-camera.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-caret-down.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-caret-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-caret-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-caret-up.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-checkbox.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-chess.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-circle-small.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-clip.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-clock.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-disabled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-download.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-share.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud-upload.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cloud.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-comment-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-comment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-compress-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-compress.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-computer.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cookie.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copy-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-copyright.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cream.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-credit-card.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross-small.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cross.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-crown.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-finger.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-plus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\VegaExpress\UIcons\svg\fi-rs-cursor-text-alt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
